"ts (S)","city (S)","clouds (N)","feels_like (N)","humidity (N)","iso_time (S)","pressure (N)","temp (N)","visibility (N)","weather_descr1 (S)","weather_descr2 (S)","wind_deg (N)","wind_speed (N)"
"2020-03-29T05:55:05.698045|Almaty","Almaty","8","4.19","45","2020-03-29T05:55:05.698045","1024","8","10000","Clear","clear sky","350","2"
"2020-03-29T05:55:05.698045|Nur-Sultan","Nur-Sultan","20","-6.19","86","2020-03-29T05:55:05.698045","1030","-1","10000","Clouds","few clouds","240","4"
"2020-03-29T10:05:20.314575|Nur-Sultan","Nur-Sultan","100","-1.89","60","2020-03-29T10:05:20.314575","1028","4","10000","Clouds","overcast clouds","260","5"
"2020-03-29T14:05:20.320913|Nur-Sultan","Nur-Sultan","72","-4.2","74","2020-03-29T14:05:20.320913","1028","1","10000","Clouds","broken clouds","250","4"
"2020-03-29T18:05:20.485290|Almaty","Almaty","16","-2.03","59","2020-03-29T18:05:20.485290","1021","2","5000","Smoke","smoke","130","2"
"2020-03-29T18:05:20.485290|Nur-Sultan","Nur-Sultan","76","-8.02","92","2020-03-29T18:05:20.485290","1028","-4","8000","Clouds","broken clouds","180","2"
"2020-03-29T22:05:20.328555|Almaty","Almaty","0","-5.01","74","2020-03-29T22:05:20.328555","1019","-1","10000","Clear","clear sky","210","2"
"2020-03-29T22:05:20.328555|Nur-Sultan","Nur-Sultan","0","-10.21","92","2020-03-29T22:05:20.328555","1027","-6","10000","Clear","clear sky","160","2"
"2020-03-30T02:05:20.663913|Almaty","Almaty","0","-4.31","74","2020-03-30T02:05:20.663913","1019","-1","10000","Clear","clear sky","230","1"
"2020-03-30T06:05:20.408489|Almaty","Almaty","0","3.38","42","2020-03-30T06:05:20.408489","1018","8","10000","Clear","clear sky","20","3"
"2020-03-30T10:05:20.499971|Nur-Sultan","Nur-Sultan","0","-1.08","64","2020-03-30T10:05:20.499971","1026","4","10000","Clear","clear sky","150","4"
"2020-03-30T14:05:20.337781|Almaty","Almaty","0","6.1","37","2020-03-30T14:05:20.337781","1015","10","10000","Clear","clear sky","70","2"
"2020-03-30T14:05:20.337781|Nur-Sultan","Nur-Sultan","0","-2.38","74","2020-03-30T14:05:20.337781","1025","2","10000","Clear","clear sky","100","3"
"2020-03-30T18:05:20.587393|Almaty","Almaty","20","0.21","60","2020-03-30T18:05:20.587393","1014","4","2300","Smoke","smoke","180","2"
"2020-03-31T02:05:20.607961|Almaty","Almaty","0","-2.1","74","2020-03-31T02:05:20.607961","1010","1","10000","Clear","clear sky","170","1"
"2020-03-31T02:05:20.607961|Nur-Sultan","Nur-Sultan","0","-11.01","85","2020-03-31T02:05:20.607961","1021","-6","10000","Clear","clear sky","70","3"
"2020-03-31T10:05:20.290751|Almaty","Almaty","20","12.95","15","2020-03-31T10:05:20.290751","1006","20","10000","Clouds","few clouds","50","6"
"2020-03-31T10:05:20.290751|Nur-Sultan","Nur-Sultan","0","1.39","45","2020-03-31T10:05:20.290751","1018","8","10000","Clear","clear sky","110","6"
"2020-03-31T18:05:20.605426|Almaty","Almaty","75","5.3","45","2020-03-31T18:05:20.605426","1007","9","2800","Smoke","smoke","160","2"
"2020-03-31T22:05:20.624168|Almaty","Almaty","75","5.98","34","2020-03-31T22:05:20.624168","1007","10","10000","Clouds","broken clouds","240","2"
"2020-03-31T22:05:20.624168|Nur-Sultan","Nur-Sultan","0","-8.83","85","2020-03-31T22:05:20.624168","1013","-4","10000","Clear","clear sky","120","3"
"2020-04-01T06:05:20.772291|Nur-Sultan","Nur-Sultan","0","1.22","52","2020-04-01T06:05:20.772291","1012","7","10000","Clear","clear sky","170","5"
"2020-04-01T18:05:20.594938|Almaty","Almaty","75","8.58","81","2020-04-01T18:05:20.594938","1016","10","10000","Clouds","broken clouds","250","1"
"2020-04-01T22:05:20.933456|Almaty","Almaty","90","7.67","87","2020-04-01T22:05:20.933456","1017","9","10000","Clouds","overcast clouds","238","0.89"
"2020-04-01T22:05:20.933456|Nur-Sultan","Nur-Sultan","75","-1.01","93","2020-04-01T22:05:20.933456","1007","4","10000","Clouds","broken clouds","200","5"
"2020-04-02T02:05:20.643348|Nur-Sultan","Nur-Sultan","90","-0.52","100","2020-04-02T02:05:20.643348","1008","6","3300","Mist","mist","220","8"
"2020-04-02T06:05:20.553679|Almaty","Almaty","90","9.92","87","2020-04-02T06:05:20.553679","1022","12","10000","Clouds","overcast clouds","240","3"
"2020-04-02T06:05:20.553679|Nur-Sultan","Nur-Sultan","75","1.67","87","2020-04-02T06:05:20.553679","1011","7","10000","Clouds","broken clouds","220","6"
"2020-04-02T10:05:20.420645|Almaty","Almaty","90","9.36","87","2020-04-02T10:05:20.420645","1021","11","10000","Rain","light intensity shower rain","150","2"
"2020-04-02T14:05:20.615229|Nur-Sultan","Nur-Sultan","100","1.18","87","2020-04-02T14:05:20.615229","1013","6","10000","Clouds","overcast clouds","180","5"
"2020-04-02T18:05:20.644835|Almaty","Almaty","90","7.38","100","2020-04-02T18:05:20.644835","1022","9","3900","Rain","light rain","200","2"
"2020-04-02T18:05:20.644835|Nur-Sultan","Nur-Sultan","100","-0.78","93","2020-04-02T18:05:20.644835","1016","3","10000","Clouds","overcast clouds","180","3"
"2020-04-03T02:05:20.558337|Almaty","Almaty","90","6.84","100","2020-04-03T02:05:20.558337","1022","8","5000","Mist","mist","230","1"
"2020-04-03T02:05:20.558337|Nur-Sultan","Nur-Sultan","72","-2.54","86","2020-04-03T02:05:20.558337","1023","1","10000","Clouds","broken clouds","300","2"
"2020-04-03T06:05:20.602636|Nur-Sultan","Nur-Sultan","47","4.08","42","2020-04-03T06:05:20.602636","1025","8","10000","Clouds","scattered clouds","80","2"
"2020-04-03T14:05:20.654241|Nur-Sultan","Nur-Sultan","0","1.05","60","2020-04-03T14:05:20.654241","1026","6","10000","Clear","clear sky","40","4"
"2020-04-03T18:05:20.357541|Almaty","Almaty","75","4.76","81","2020-04-03T18:05:20.357541","1022","8","2800","Mist","mist","170","3"
"2020-04-03T22:05:20.233389|Almaty","Almaty","20","2.4","81","2020-04-03T22:05:20.233389","1021","6","10000","Clouds","few clouds","160","3"
"2020-04-03T22:05:20.233389|Nur-Sultan","Nur-Sultan","19","-5.25","77","2020-04-03T22:05:20.233389","1025","0","10000","Clouds","few clouds","80","4"
"2020-04-04T10:05:20.464983|Almaty","Almaty","75","17.36","30","2020-04-04T10:05:20.464983","1018","21","10000","Clouds","broken clouds","360","3"
"2020-04-04T10:05:20.464983|Nur-Sultan","Nur-Sultan","100","8.85","58","2020-04-04T10:05:20.464983","1022","14","10000","Clouds","overcast clouds","120","6"
"2020-04-04T14:05:20.409381|Almaty","Almaty","20","11.37","44","2020-04-04T14:05:20.409381","1018","15","10000","Clouds","few clouds","40","3"
"2020-04-04T14:05:20.409381|Nur-Sultan","Nur-Sultan","100","7.27","71","2020-04-04T14:05:20.409381","1020","11","10000","Clouds","overcast clouds","90","4"
"2020-04-05T02:05:20.725386|Almaty","Almaty","40","2.91","75","2020-04-05T02:05:20.725386","1017","6","10000","Clouds","scattered clouds","240","2"
"2020-04-05T02:05:20.725386|Nur-Sultan","Nur-Sultan","75","1.51","75","2020-04-05T02:05:20.725386","1015","6","10000","Clouds","broken clouds","200","4"
"2020-04-05T06:05:20.656905|Almaty","Almaty","75","15.05","36","2020-04-05T06:05:20.656905","1018","18","10000","Clouds","broken clouds","10","2"
"2020-04-05T06:05:20.656905|Nur-Sultan","Nur-Sultan","90","3.67","76","2020-04-05T06:05:20.656905","1015","9","10000","Rain","light rain","230","6"
"2020-04-05T10:05:20.569453|Almaty","Almaty","75","18.16","26","2020-04-05T10:05:20.569453","1017","22","10000","Clouds","broken clouds","250","3"
"2020-04-05T10:05:20.569453|Nur-Sultan","Nur-Sultan","90","6.48","81","2020-04-05T10:05:20.569453","1014","10","10000","Clouds","overcast clouds","270","4"
"2020-04-05T14:05:20.470443|Nur-Sultan","Nur-Sultan","40","3.45","70","2020-04-05T14:05:20.470443","1015","9","10000","Clouds","scattered clouds","270","6"
"2020-04-05T18:05:20.439354|Almaty","Almaty","40","11.2","41","2020-04-05T18:05:20.439354","1017","15","5000","Smoke","smoke","190","3"
"2020-04-05T22:05:20.124125|Almaty","Almaty","75","9.66","51","2020-04-05T22:05:20.124125","1017","15","10000","Clouds","broken clouds","220","6"
"2020-04-05T22:05:20.124125|Nur-Sultan","Nur-Sultan","90","1.37","93","2020-04-05T22:05:20.124125","1015","6","10000","Clouds","overcast clouds","250","5"
"2020-04-06T02:05:20.587081|Nur-Sultan","Nur-Sultan","90","1.57","93","2020-04-06T02:05:20.587081","1016","5","10000","Clouds","overcast clouds","210","3"
"2020-04-06T06:05:20.486664|Nur-Sultan","Nur-Sultan","90","3.36","81","2020-04-06T06:05:20.486664","1017","8","10000","Clouds","overcast clouds","250","5"
"2020-04-06T10:05:20.526620|Almaty","Almaty","75","13.65","51","2020-04-06T10:05:20.526620","1018","16","10000","Clouds","broken clouds","240","2"
"2020-04-06T10:05:20.526620|Nur-Sultan","Nur-Sultan","75","7.27","50","2020-04-06T10:05:20.526620","1016","13","10000","Clouds","broken clouds","230","6"
"2020-04-06T22:05:20.217254|Almaty","Almaty","20","4.47","87","2020-04-06T22:05:20.217254","1015","7","10000","Clouds","few clouds","140","2"
"2020-04-06T22:05:20.217254|Nur-Sultan","Nur-Sultan","100","-1.89","86","2020-04-06T22:05:20.217254","1009","4","10000","Clouds","overcast clouds","170","6"
"2020-04-07T10:05:20.681466|Almaty","Almaty","75","20.65","33","2020-04-07T10:05:20.681466","1013","23","10000","Clouds","broken clouds","300","2"
"2020-04-07T10:05:20.681466|Nur-Sultan","Nur-Sultan","75","-6.79","86","2020-04-07T10:05:20.681466","1001","4","9000","Rain","light intensity shower rain","230","13"
"2020-04-07T18:05:20.481560|Nur-Sultan","Nur-Sultan","75","-12.13","68","2020-04-07T18:05:20.481560","1009","-1","10000","Clouds","broken clouds","250","12"
"2020-04-07T22:05:20.409677|Almaty","Almaty","90","11.6","93","2020-04-07T22:05:20.409677","1019","12","5000","Rain","light intensity shower rain","220","1"
"2020-04-07T22:05:20.409677|Nur-Sultan","Nur-Sultan","41","-11.42","73","2020-04-07T22:05:20.409677","1014","-3","10000","Clouds","scattered clouds","240","8"
"2020-04-08T06:05:20.251185|Almaty","Almaty","90","1.08","100","2020-04-08T06:05:20.251185","1021","5","5000","Rain","light intensity shower rain","340","4"
"2020-04-08T06:05:20.251185|Nur-Sultan","Nur-Sultan","75","-10.01","64","2020-04-08T06:05:20.251185","1018","1","10000","Clouds","broken clouds","220","12"
"2020-04-08T14:05:20.885622|Almaty","Almaty","90","0.39","93","2020-04-08T14:05:20.885622","1019","4","5000","Mist","mist","10","3"
"2020-04-08T18:05:20.830817|Almaty","Almaty","90","1.44","93","2020-04-08T18:05:20.830817","1016","4","10000","Clouds","overcast clouds","175","1.51"
"2020-04-08T18:05:20.830817|Nur-Sultan","Nur-Sultan","40","-8.92","79","2020-04-08T18:05:20.830817","1020","-4","10000","Clouds","scattered clouds","190","3"
"2020-04-08T22:05:20.541903|Almaty","Almaty","90","-0.78","93","2020-04-08T22:05:20.541903","1020","3","4000","Rain","light intensity shower rain","260","3"
"2020-04-08T22:05:20.541903|Nur-Sultan","Nur-Sultan","0","-9.92","85","2020-04-08T22:05:20.541903","1021","-5","10000","Clear","clear sky","230","3"
"2020-04-09T02:05:20.412720|Almaty","Almaty","90","-0.31","93","2020-04-09T02:05:20.412720","1024","4","10000","Rain","light intensity shower rain","220","4"
"2020-04-09T06:05:20.653165|Nur-Sultan","Nur-Sultan","40","-4.58","38","2020-04-09T06:05:20.653165","1025","4","10000","Clouds","scattered clouds","230","8"
"2020-04-09T10:05:20.854545|Nur-Sultan","Nur-Sultan","75","-5.82","44","2020-04-09T10:05:20.854545","1026","4","10000","Clouds","broken clouds","210","10"
"2020-04-09T14:05:20.600218|Nur-Sultan","Nur-Sultan","75","-4.1","44","2020-04-09T14:05:20.600218","1028","3","10000","Clouds","broken clouds","260","6"
"2020-04-09T18:05:20.594152|Almaty","Almaty","75","-4.17","61","2020-04-09T18:05:20.594152","1036","0","5000","Mist","mist","110","2"
"2020-04-09T18:05:20.594152|Nur-Sultan","Nur-Sultan","66","-5.01","74","2020-04-09T18:05:20.594152","1029","-1","10000","Clouds","broken clouds","220","2"
"2020-04-09T22:05:21.472207|Nur-Sultan","Nur-Sultan","13","-6.91","92","2020-04-09T22:05:21.472207","1029","-3","10000","Clouds","few clouds","210","2"
"2020-04-10T06:05:20.310670|Almaty","Almaty","75","0.45","69","2020-04-10T06:05:20.310670","1030","4","10000","Clouds","broken clouds","80","2"
"2020-04-10T06:05:20.310670|Nur-Sultan","Nur-Sultan","40","-0.51","42","2020-04-10T06:05:20.310670","1029","7","10000","Clouds","scattered clouds","220","7"
"2020-04-10T10:05:20.393219|Nur-Sultan","Nur-Sultan","40","1.8","45","2020-04-10T10:05:20.393219","1028","9","10000","Clouds","scattered clouds","220","7"
"2020-04-10T22:05:20.981996|Almaty","Almaty","40","-4.57","41","2020-04-10T22:05:20.981996","1021","0","5000","Mist","mist","150","2"
"2020-04-10T22:05:20.981996|Nur-Sultan","Nur-Sultan","11","-4.68","92","2020-04-10T22:05:20.981996","1027","-1","10000","Clouds","few clouds","180","2"
"2020-04-11T02:05:20.594844|Almaty","Almaty","75","-2.63","33","2020-04-11T02:05:20.594844","1020","2","10000","Clouds","broken clouds","220","2"
"2020-04-11T02:05:20.594844|Nur-Sultan","Nur-Sultan","3","-3.98","92","2020-04-11T02:05:20.594844","1027","-1","10000","Clear","clear sky","160","1"
"2020-04-11T14:05:20.487662|Almaty","Almaty","75","9.65","66","2020-04-11T14:05:20.487662","1018","12","10000","Clouds","broken clouds","20","2"
"2020-04-11T14:05:20.487662|Nur-Sultan","Nur-Sultan","94","4.6","52","2020-04-11T14:05:20.487662","1021","10","10000","Clouds","overcast clouds","90","5"
"2020-04-11T22:05:20.755560|Nur-Sultan","Nur-Sultan","100","-2.29","56","2020-04-11T22:05:20.755560","1016","5","10000","Clouds","overcast clouds","120","7"
"2020-04-12T02:05:20.662716|Almaty","Almaty","40","6.27","66","2020-04-12T02:05:20.662716","1017","10","10000","Clouds","scattered clouds","144","3.43"
"2020-04-12T02:05:20.662716|Nur-Sultan","Nur-Sultan","93","-1.65","69","2020-04-12T02:05:20.662716","1015","4","10000","Clouds","overcast clouds","130","5"
"2020-04-12T06:05:20.441952|Almaty","Almaty","75","13.96","34","2020-04-12T06:05:20.441952","1013","19","10000","Clouds","broken clouds","40","5"
"2020-04-12T06:05:20.441952|Nur-Sultan","Nur-Sultan","82","4.26","50","2020-04-12T06:05:20.441952","1012","11","10000","Clouds","broken clouds","140","7"
"2020-04-12T14:05:20.725759|Almaty","Almaty","90","15.58","40","2020-04-12T14:05:20.725759","1014","20","10000","Clouds","overcast clouds","220","5"
"2020-04-12T14:05:20.725759|Nur-Sultan","Nur-Sultan","90","8.56","62","2020-04-12T14:05:20.725759","1010","13","10000","Clouds","overcast clouds","180","5"
"2020-04-12T18:05:20.728310|Almaty","Almaty","75","13.08","62","2020-04-12T18:05:20.728310","1015","15","10000","Clouds","broken clouds","160","2"
"2020-04-12T22:05:20.330012|Almaty","Almaty","75","9.82","71","2020-04-12T22:05:20.330012","1014","12","10000","Clouds","broken clouds","196","2.09"
"2020-04-13T02:05:20.846417|Almaty","Almaty","90","12.92","82","2020-04-13T02:05:20.846417","1016","14","10000","Clouds","overcast clouds","110","2"
"2020-04-13T06:05:20.404784|Almaty","Almaty","90","13.18","87","2020-04-13T06:05:20.404784","1016","14","10000","Clouds","overcast clouds","50","2"
"2020-04-13T06:05:20.404784|Nur-Sultan","Nur-Sultan","0","8.24","33","2020-04-13T06:05:20.404784","1014","14","10000","Clear","clear sky","250","5"
"2020-04-13T10:05:20.409992|Nur-Sultan","Nur-Sultan","16","8.84","29","2020-04-13T10:05:20.409992","1014","16","10000","Clouds","few clouds","240","7"
